45.7704769201, 4.80090048324;"{""type"": ""Point"", ""coordinates"": [4.800900483241142, 45.7704769200645]}";9044;Masset / St Pierre de Vaise;86 rue St Pierre de Vaise;;Lyon 9 ème;44;Non;Activités, maillage;45.7704769200646000;4.8009004832411400;16;OPEN;2;12;1;Vert;t;889;2015-07-01 16:02:19;2015-07-01 16:11:00
45.7777983855, 4.88398291966;"{""type"": ""Point"", ""coordinates"": [4.883982919658965, 45.77779838552551]}";10083;Château Gaillard / Filature /;rue des bienvenus;;VILLEURBANNE;83;Non;maillage, iti. Cyclable;45.7777983855256000;4.8839829196589700;15;OPEN;14;0;3;Orange;t;976;2015-07-01 16:03:14;2015-07-01 16:11:00
45.7607767055, 4.85251059124;"{""type"": ""Point"", ""coordinates"": [4.852510591241066, 45.76077670548119]}";3015;Servient / Garibaldi;Servient;Angle rue Garibaldi;Lyon 3 ème;15;Non;tram, cité administrative;45.7607767054813000;4.8525105912410700;17;OPEN;0;16;2;Bleu;t;804;2015-07-01 16:03:53;2015-07-01 16:11:00
45.7557568967, 4.84069536039;"{""type"": ""Point"", ""coordinates"": [4.840695360385709, 45.755756896674214]}";7056;Place Raspail;3 rue Cavenne;;Lyon 7 ème;56;Non;Commerces, quartier, point nodal (Guillotière, 7e,;45.7557568966743000;4.8406953603857100;22;OPEN;15;7;1;Vert;t;770;2015-07-01 16:04:34;2015-07-01 16:11:00
45.731756154, 4.87424491378;"{""type"": ""Point"", ""coordinates"": [4.874244913775125, 45.73175615404192]}";8060;Santy / Beauvisage;9 rue Pierre Verger;;Lyon 8 ème;60;Non;Maillage;45.7317561540420000;4.8742449137751200;22;OPEN;7;14;1;Vert;t;964;2015-07-01 16:08:12;2015-07-01 16:11:00
45.7698360006, 4.88952608579;"{""type"": ""Point"", ""coordinates"": [4.889526085789313, 45.769836000589684]}";10086;Anatole France / Pressensé;Rue Anatole France;Angle Rue de Pressensé / Flachet;VILLEURBANNE;86;Non;maillage, iti. Cyclable;45.7698360005898000;4.8895260857893200;10;OPEN;4;6;1;Vert;t;837;2015-07-01 16:05:21;2015-07-01 16:11:00
45.7633758465, 4.82904044152;"{""type"": ""Point"", ""coordinates"": [4.829040441519918, 45.76337584648229]}";5026;Saint Jean / Rue de la Baleine;rue de la Baleine;angle quai Romain Rolland;Lyon 5 ème;26;Non;Vieux Lyon;45.7633758464824000;4.8290404415199200;14;OPEN;14;0;3;Orange;t;842;2015-07-01 16:07:32;2015-07-01 16:11:00
45.775502359, 4.83506254529;"{""type"": ""Point"", ""coordinates"": [4.835062545291405, 45.775502359048495]}";4041;Boussange/Austerlitz;17 rue d'Austerlitz;;Lyon 4 ème;41;Oui;Renforcement 4022, commerces;45.7755023590486000;4.8350625452914100;18;OPEN;16;2;1;Vert;t;934;2015-07-01 16:06:28;2015-07-01 16:11:00
45.7683990533, 4.84949945274;"{""type"": ""Point"", ""coordinates"": [4.849499452740501, 45.7683990532861]}";6011;Mairie du 6e;58 rue de Sèze;angle rue Boileau;Lyon 6 ème;11;Non;mairie du 6e;45.7683990532862000;4.8494994527405000;15;OPEN;13;2;1;Vert;t;836;2015-07-01 16:01:48;2015-07-01 16:11:00
45.7473577623, 4.83604918965;"{""type"": ""Point"", ""coordinates"": [4.836049189654229, 45.74735776230636]}";7010;Berthelot / Pasteur;rue Pasteur;angle avenue Berthelot;Lyon 7 ème;10;Non;tram, cinéma;45.7473577623064000;4.8360491896542300;20;OPEN;0;20;2;Bleu;t;1062;2015-07-01 16:09:59;2015-07-01 16:11:00
45.7756418294, 4.80531798091;"{""type"": ""Point"", ""coordinates"": [4.805317980911979, 45.77564182944418]}";9003;place Valmy;rue Roquette;angle rue de Bourgogne;Lyon 9 ème;3;Non;métro D, médiathèque;45.7756418294443000;4.8053179809119800;16;OPEN;7;9;1;Vert;t;841;2015-07-01 16:09:33;2015-07-01 16:11:00
45.7571997023, 4.84049913754;"{""type"": ""Point"", ""coordinates"": [4.840499137542487, 45.75719970232646]}";3097;Augagneur;28 quai Augagneur;;Lyon 3 ème;97;Non;Commerces, quartier, point nodal (Guillotière, 7e,;45.7571997023265000;4.8404991375424900;16;OPEN;4;7;1;Vert;t;988;2015-07-01 16:06:54;2015-07-01 16:11:00
45.7495469577, 4.87602199224;"{""type"": ""Point"", ""coordinates"": [4.87602199223534, 45.749546957743476]}";3086;Feuillat/Lacassagne;115 avenue Lacassagne;;Lyon 3 ème;86;Non;Maillage, stade;45.7495469577436000;4.8760219922353400;16;OPEN;11;5;1;Vert;t;1096;2015-07-01 16:09:48;2015-07-01 16:11:00
45.7722995939, 4.86569926845;"{""type"": ""Point"", ""coordinates"": [4.865699268446058, 45.77229959385074]}";10075;Charmettes / Péri / Philip;rue Gabriel Péri;Angle cours André Philip;VILLEURBANNE;75;Non;;45.7722995938508000;4.8656992684460600;12;OPEN;6;6;1;Vert;t;833;2015-07-01 16:06:20;2015-07-01 16:11:00
45.7455815522, 4.82353267324;"{""type"": ""Point"", ""coordinates"": [4.823532673236307, 45.74558155218041]}";2006;Place de l'Hippodrome;Place de l'Hippodrome;Angle cours Charlemagne;Lyon 2 ème;6;Non;coeur quartier;45.7455815521805000;4.8235326732363100;14;OPEN;1;13;1;Vert;t;862;2015-07-01 16:01:07;2015-07-01 16:11:00
45.7836371651, 4.7945253085;"{""type"": ""Point"", ""coordinates"": [4.794525308499561, 45.78363716505471]}";9050;Le Château;228 avenue du Plateau;;Lyon 9 ème;50;Oui;Commerces, poste, mairie, cpam, marché;45.7836371650548000;4.7945253084995600;12;CLOSED;12;0;3;Orange;t;1016;2015-06-25 11:31:21;2015-07-01 16:11:00
45.7529723996, 4.8988656629;"{""type"": ""Point"", ""coordinates"": [4.898865662897635, 45.752972399586696]}";10041;Kimmerling;41 rouet de Genas;;VILLEURBANNE;41;Non;Maillage, espace public;45.7529723995868000;4.8988656628976400;16;OPEN;11;5;1;Vert;t;1097;2015-07-01 16:05:18;2015-07-01 16:11:00
